Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 680.-,State Zurich (City),Address Paul-Feyerabend-Hof,City 8049 Zürich,"The room is located on the first floor. It is about 13m ^ 2, included is a desk, chair, bed, bookshelf and a closet. Additionally, there is a free wifi. Our room has a very large living room with a kitchen. The kitchen is equipped with two refrigerators, microwave, dishwasher, oven, coffee machine, toaster and a stove. You have an unlimited access to washing machines and driers located in the basement at any given time.  The picture is an example of a fully furnished room and the view you would have.  Surroundings: The flat is located on the campus ETH Hönggerberg and a 2 min bus ride or 10 minute walk away from Höngg Center (Meierhofplatz). You can find everything you need including Migros, Coop, Denner, Pharmacies, Post Office, etc. There is also a small coop on the campus itself (1 min walk). Transportation: The ETH Link connecting Hönggerberg and the center by a free of charge bus (15min ride) is also merely a 2 min walk away, as well as the bus numbers 80 and 69.  Official Homepage of Student Village: http://studentvillage.ch/",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--680-zurich-stadt/pictureLarge/roomPicture.png,"We are an international mixture of ETH students form Switzerland, Germany, Austria and Italy. We are three girls and five guys between the ages of 19-24.","We are looking for an open minded, ambitious, easy going character. You have to be at the university in Zurich and should be fluent in english, even though we are currently a german speaking.  We are looking forward to your application.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--680-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 825.-,State Zurich (City),Address Schachenmatten,City 8906 Bonstetten-Wettswil,"The room is medium sized, unfurled or furnished according to the light","2 young men (20,22 years old), working, sociable","You should be between 20 - 30 years old, working or student, calm, tidy. Entry possibility: from now or after arrangement,  In the apartment you can use the following: - 2 bathrooms - 2 balconies - 1 kitchen with dishwasher - 1 living room  Collection from now or by appointment.  If you are interested, we would be pleased to hear from you.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--1000-zurich-stadt0.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 765.-,State Zurich (City),Address Birchstrasse 408,City 8052 Zürich,"The room isZimmer in 3er-WG on the 3rd floor, approx. 17m2, quiet, large window front with a view on green area. Rent incl. Additional costs and internet. Large, well equipped kitchen with spacious living room. Shower / WC for shared use.",Two chemicochemists at the ETH (25 and 26).,"Resident, ordinary roommate, usually student or doctoral student.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--765-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 630.-,State Zurich (City),Address Hardstrasse 39,City 8004 Zürich,"The room isca 15m2 and bright. Furthermore, the apartment has a large living room, kitchen, dining area, bathroom and a balcony",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt/pictureLarge3/roomPicture3.png,"a cool guy, 26, graduate studies and traveling.",A roommate (s) who is cool on it and especially meets Juwo criteria.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 580.-,State Zurich (City),Address Apollostrasse 21,City 8032  Zürich,"The room is16qm large, bright, with a window towards north-east (morning sun: D) with a view of the church of St. Anton. The apartment has 4 rooms a kitchen and bathroom / WC and is located extremely central directly at the crossroads. From there one is by public transport in 10 min at the train station and Uni / ETH center. The bike is even faster.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--580-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--580-zurich-stadt0/pictureLarge3/roomPicture3.png,"Michi, Anastasia and Flo, more or less hard-working students at the HSR, university and ETH who like to enjoy cooking and chatting but also their private car. We are all at the beginning of the 20th and in the middle of our studies and always have something around our ears so that we never get bored.","a resident and sociable roommate (because of the boys / girls balance) which shares with us fajitas, tea and also a glass of wine. If you like to do sports or simply go for a drink in the evening you are exactly right with us! Since the apartment of JUWO is you must be compulsively Juwochtigt. If you send us your application with photo and convincingly convincing you will be invited many times to a casting. ;)",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--580-zurich-stadt0.html
Starting from 15.11.2017,Until No time restrictions,Monthly rent sFr. 609.-,State Zurich (City),Address Max-Bill-Platz 13,City 8050 Zuerich,"The room isZurzeit we live (2w / 3m) in our beautiful WOKO flat at the Max-Bill-Platz. Your room is about 16m ^ 2 large, bright, with wooden floor. From the WOKO you will be given a wardrobe, a bookshelf, a desk with chair and a 90s bed. For rent are added with Internet and Billag approx. 20 to 25 monthly NK.  Are you renting WOKO? Check here: http://www.woko.ch/de/haeufige-fragen  Property details WOKO http://www.woko.ch/de/liegenschaft-details/398",sporty and cool: P,"As of 15 November 2017, we are looking for an open and uncomplicated person (m or w) between 20 and 28 (compulsorily student / in!) In our great 5-year flat share, which also likes to take part in shared living. Are you open and communicative, do not search for pure purpose WG and study at the university, ZHdK or ETH? Then perhaps you are exactly right with us. ;-)  We, Nadja (animal medicine, Uni Irchel), Harry (mechanical engineering, ETH) Robin (physics, ETH) and Leona (visual communication, ZHdK) are looking for a great flatmate. We are all very open and communicative, like to eat together or watch a movie together. Everyone has their own privacy. Your room is about 16m2 large, bright and can be furnished (WOKO). The room has a nice wooden floor with a view of the inner courtyard and large windows.  Interested? We are looking forward to your e-mail to maxbillplatz13@hotmail.com, with photo and some infos for you. :-)  IMPORTANT: According to the WOKO rule, you may not be older than 28 years and must be enrolled at the UNI, ETH, PH, ZHdK or other university. Please do not register if you do not meet these conditions!  (Photos from the room)",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-11-2017--609-zurich-stadt.html
Starting from 28.12.2017,Until 28. März 2018,Monthly rent sFr. 720.-,State Zurich (City),Address Dörflistrasse 46,City 8050 Zürich,"The room isSüsses xx-m ^ 2 rooms in 4.5-room apartment in Oerlikon. The bright room is on the back of the house - through the windows you have a view of the backyard covered with a lawn. The bathroom (toilet / shower) is next to the bedroom. The apartment offers plenty of space to enjoy the shared living space, but also enough space for privacy. It is a 3-minute walk from the tram station ""Salersteig"" (nr. 10 and 14) - with the public transport is within 10-15 minutes in the city center or at the universities. The station of Oerlikon is also only max. 10 minutes walk from the apartment. From there you are within 5 minutes at the main station of Zurich. The room is rented only furnished.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/28-12-2017-28--m-rz-2018-720-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/28-12-2017-28--m-rz-2018-720-zurich-stadt/pictureLarge3/roomPicture3.png,"Hello my dears!  Between the beginning of January and the middle of April 2018 I will travel to Asia (Alan, student and 25 years old). Therefore, I rent from January to the end of March 2018 (for 3 months) my room in our 4.5 room apartment in Oerlikon, Zurich!  My two close friends and roommates are Mark and Diego (both 25 years old) - they will stay in the flat in my absence. The two are absolutely easygoing and always look forward to a new visit! We look forward to you!",A sympathetic and open (preferably female) person between 20 and 30 years.  We maintain a close co-existence in our WG and are therefore always open for joint ventures or simple common meals. So it is by no means a shared flat in which one lives by one another!,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/28-12-2017-28--m-rz-2018-720-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 940.-,State Zurich (City),Address Schwandenholzstrasse 250,City 8046 Zuerich,"The room is furnished, bright, about 16 cm2 in size and has a large balcony",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--940-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--940-zurich-stadt0/pictureLarge3/roomPicture3.png,"I am looking for a new tenant for my room. The room is in a shared flat with 4 people, all between 20 and 30. The two bathrooms and the kitchen are shared. Kitchen and two bathrooms are cleaned every 14 days. The apartment is located in a quiet neighborhood, but you reach within 15 minutes to Oerlikon and in about 20 minutes you reach the Zuercher HB. The 940.- rent is inclusive additional costs and internet connection. Interested?",a new tenant between 20 and 30 years,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--940-zurich-stadt0.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 1'200.-,State Zurich (City),Address Beckenhofstrasse 72,City 8006 Zürich,"The room isThe spacious 3-room apartment on the 2nd floor is centrally located in the district 6, between tram stop Kronenstrasse (trams 11 and 14) and tram stop Röslistrasse (trams 7 and 15). The main train station is less than 5 minutes by tram, 10 minutes to Oerlikon. The Badi am Oberen Letten is just a 5-minute walk, ideal in summer. The apartment has a total of 90sqm. For rent is 1 of the two bedrooms with 18sqm. The room is unfurnished. The cozy bright living room as well as kitchen, balcony and bathroom are provided for common use. Of course, you can also bring additional furniture for this, am open for the room design :) The kitchen with glass ceramic hob and dishwasher has another small balcony facing the courtyard. In the bathroom it has a shower bath and a double toilet. The entrance of the apartment is large and there is plenty of storage space in the built-in wardrobes. Further storage space is available on the screed and the basement. In the laundry room in the basement are also available washing machine and tumbler for sharing. The rent is 1200 CHF. In addition there are 75 francs for electricity, Internet / TV and Billag. The deposit is 2 net rent. Visiting dates are possible by arrangement in the evening or at the weekend. Please write to me by e-mail. If you have any questions, write me.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1400-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1400-zurich-stadt/pictureLarge3/roomPicture3.png,I am Fabian (30) and have lived in Zurich for 2 years in our 2-room apartment. I am a young engineer and I usually travel during the day. In my spare time I do a lot of sports like snowboarding and wakeboard and enjoy nature. Shared trips on weekends are therefore also in it.,"We are looking for a nice roommate between 20 and 35, ideally working, but also students / doctoral students. You are also tidy, open and cheerful :) and sometimes you also want to have a shared flat-food;).",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1400-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 850.-,State Zurich (City),Address farmanstr39,City 8152 Glattpark,"The room isca 18m2 with private balcony and private shower-WC !! including Wifi and electricity.Very modern and new built-in laundry room in the apartment. approximately 115m2 whole apartment, Furniture may need to be taken but not.",1 apartment owner and 1 student as well as a cat lady.,the best weeks stay but does not have to be. Party and music is no problem. only cleanliness in the apartment must be!,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--850-zurich-stadt.html
Starting from 24.9.2017,Until No time restrictions,Monthly rent sFr. 900.-,State Zurich (City),Address Hegibachstrasse 14,City 8032 Zürich,The room isca. 11m2 furnished OR unfurnished in a 3-room apartment. I will send you photos by e-mail,"I'm 18 years old. athletic, full-time and orderly. :)",A friendly and neat roommate,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/24-9-2017--900-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 400.-,State Zurich (City),Address Kreuzwiesen 5,City 8051 Zürich,"The room isBu the apartment is a nice 4-room cooperative apartment with balcony, cellar compartment and screed. The free room is 10.5 m2. Living room, kitchen and bathroom for common use.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-30-11-2020-400-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-30-11-2020-400-zurich-stadt/pictureLarge3/roomPicture3.png,"two students from the University of Zurich, come from Lucerne and are 22 years old: Clara is studying psychology, Laura Physik - both in the 5th semester. Write to us briefly, who you are and why you would like to live here, with a photo of you. We are looking forward to applications until Wed, September 27th. If we believe you fit into our flat, we'll get in touch with you. :)","(s), regular (s), non-resident (s) between 20 and 26 years old, student (s) who appreciates a quiet home. During the day we are usually out of the house. In the evening, however, we like to cook together and wish you to be there in the evenings from time to time. Otherwise everyone should have their own space.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-30-11-2020-400-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 698.-,State Zurich (City),Address Bülachstrasse 7a,City 8057 Zürich,"The room isThe room has about 17m2 and is part of a 2er-WG the WOKO at the Bülachstrasse. The apartment is two-storey with the kitchen on the ground floor and the two rooms as well as the bathroom on the 1st floor. Directly under the WG is the bar of the property, which is however only very sporadically open. But about once a week it is a bit louder in the late evening. Otherwise, the WG in one of the largest WOKO settlements offers all the advantages. More details can be found at: http://www.woko.ch/de/liegenschaft-details/363  The room has approximately 17m2 and is part of a 2-person flat of the WOKO at Bülachstrasse. The flat has two floors, the kitchen on ground level and the two rooms as well as the bathroom on the first floor. Directly under the flat there is a student-bar which opens very irregularly. However, about once a week. Other than that, the flat offers all the advantages of a WOKO-flat. For details take a look at: http://www.woko.ch/en/private-details/363",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--698-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--698-zurich-stadt/pictureLarge3/roomPicture3.png,"I am originally from Munich, I am 26 and I study mechanical engineering at the ETH. In the free time, I do triathlon (when I get to it). We did not have a ""strict flatmate life"" with regular WG food or similar, but occasionally have done something together, if it happened by chance. Anything else you would like to have a personal acquaintance :)  I am 26, originally from Munich, and studying Mechanical Engineering at the ETH. In my free time, I do triathlon (if I find the time and energy). We did not have any ""structured flat-sharing-life"" like regular cooking together but came together more on a spontaneous basis. Anything else can be done at a personal meeting :)","I'm not looking for anything specific. Best someone who is halfway tidy and otherwise uncomplicated and flexible. Non-smoking preferred.  I'm looking for something specific, someone who is kindly, flexible and uncomplicated. Preferably non-smokers.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--698-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 980.-,State Zurich (City),Address Austrasse 7a,City 8951 Fahrweid,"The room is15m2 large, new building, bright and generously planned, large window The room is newly furnished, can be rented on request but also empty. Double bed, wardrobes and shelves etc. are available - in March completely new equipped.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt0/pictureLarge3/roomPicture3.png,two young Austrians (21) from the gastronomy / hotel industry who study at a higher school. Are always open for a few beers or barbecue or similar. Would also have no problem with a purpose WG,a reliable roommate on short or long depending on the agreement.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt0.html
